*SUMMARY : KSGC3038SN FINNEY COUNTY MODELING                                       DSSAT Cropping System Model Ver. 4.7.1.001 -release      JUL 23, 2019; 16:38:07

!IDENTIFIERS......................... EXPERIMENT AND TREATMENT.......... SITE INFORMATION............ DATES..........................................  DRY WEIGHT, YIELD AND YIELD COMPONENTS........................................  WATER...............................................  NITROGEN............................................  PHOSPHORUS............  POTASSIUM.............  ORGANIC MATTER..........................................    WATER PRODUCTIVITY..................................................    NITROGEN PRODUCTIVITY...........  SEASONAL ENVIRONMENTAL DATA (Planting to harvest)..............
@   RUNNO   TRNO R# O# C# CR MODEL... EXNAME.. TNAM..................... FNAM.... WSTA.... SOIL_ID...    SDAT    PDAT    EDAT    ADAT    MDAT    HDAT  DWAP    CWAM    HWAM    HWAH    BWAH  PWAM    HWUM    H#AM    H#UM  HIAM  LAIX  IR#M  IRCM  PRCM  ETCM  EPCM  ESCM  ROCM  DRCM  SWXM  NI#M  NICM  NFXM  NUCM  NLCM  NIAM  CNAM  GNAM N2OEC  PI#M  PICM  PUPC  SPAM  KI#M  KICM  KUPC  SKAM  RECM  ONTAM   ONAM  OPTAM   OPAM   OCTAM    OCAM   CO2EC    DMPPM    DMPEM    DMPTM    DMPIM     YPPM     YPEM     YPTM     YPIM    DPNAM    DPNUM    YPNAM    YPNUM  NDCH TMAXA TMINA SRADA DAYLA   CO2A   PRCP   ETCP   ESCP   EPCP
       21      1  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_2               FNYCO001 GRRD0101 KS00000005 2001061 2001130 2001136 2001208 2001272 2001272   -99   24652   14577   14577   10142 19099  0.2657    5486   721.8 0.591   3.9    14   350   470   782   486   296    22   105   135     1   250     0   288     6   109   216   183   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19800  19800      0      0  226557  226557     -99     68.3     36.5     50.7     70.4     40.4     21.6     30.0     41.6     98.6     85.6     58.3     50.6   142  31.9  15.2  28.8  13.8  380.0  360.7  675.7  191.6  486.3
       22      1  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_2               FNYCO001 GRRD0201 KS00000005 2002061 2002130 2002139 2002208 2002275 2002275   -99   27487   16838   16838   10718 21430  0.2941    5726   753.4 0.613   4.3    15   375   239   677   509   168     0     0   157     1   250     0   347     0    60   264   228   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19799  19799      0      0  226580  226580     -99    145.6     44.6     54.0     73.3     89.2     27.3     33.1     44.9    109.9     79.2     67.4     48.5   145  31.4  15.3  28.2  13.7  380.0  188.8  615.8  108.8  509.0
       23      1  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_2               FNYCO001 GRRD0301 KS00000005 2003061 2003130 2003138 2003210 2003283 2003283   -99   25847   16250   16250    9660 20693  0.3087    5264   692.6 0.629   3.8    14   350   382   776   481   295     6    33   141     1   250     0   343     1    65   264   232   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19794  19794      0      0  226506  226506     -99     93.1     38.2     53.8     73.8     58.6     24.0     33.8     46.4    103.4     75.4     65.0     47.4   153  30.2  14.1  27.7  13.6  380.0  277.5  676.1  196.7  480.8
       24      1  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_2               FNYCO001 GRRD0401 KS00000005 2004061 2004130 2004139 2004216 2004307 2004307   -99   30655   18459   18459   12271 24327  0.3308    5580   734.2 0.602   4.6     7   175   576   760   517   242    17    48   177     1   250     0   395     2    44   297   242   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19775  19775      0      0  226304  226304     -99     65.4     46.3     59.2    175.2     39.4     27.9     35.7    105.5    122.6     77.6     73.8     46.7   177  28.1  12.4  26.2  13.2  380.0  468.4  661.4  144.1  517.4
       25      1  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_2               FNYCO001 GRRD0501 KS00000005 2005061 2005130 2005138 2005207 2005271 2005271   -99   27409   15641   15641   11839 20750  0.2937    5326   700.8 0.571   4.3    12   300   344   731   502   229     2     5   138     1   250     0   334     0    75   253   214   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19794  19794      0      0  226480  226480     -99     91.4     41.5     54.6     91.4     52.2     23.7     31.2     52.1    109.6     82.1     62.6     46.8   141  31.6  15.0  28.8  13.8  380.0  299.8  659.7  160.4  501.8
       26      1  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_2               FNYCO001 GRRD0601 KS00000005 2006061 2006130 2006139 2006207 2006277 2006277   -99   28396   17342   17342   11131 21480  0.3090    5613   738.6 0.611   4.7    11   275   386   765   537   229     3     0   128     1   250     0   359     0    64   269   230   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19785  19785      0      0  226445  226445     -99     93.2     42.2     52.9    103.3     56.9     25.8     32.3     63.1    113.6     79.1     69.4     48.3   147  31.5  14.9  28.3  13.7  380.0  304.8  672.3  138.2  536.5
       27      1  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_2               FNYCO001 GRRD0701 KS00000005 2007061 2007130 2007137 2007210 2007270 2007270   -99   24220   13156   13156   11129 17515  0.2478    5310   698.7 0.543   4.1    12   300   367   732   489   243     6    14   147     1   250     0   338     0    68   247   204   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19798  19798      0      0  226511  226511     -99     97.2     39.9     49.5     80.7     52.8     21.7     26.9     43.9     96.9     71.7     52.6     38.9   140  31.5  15.4  28.9  13.8  380.0  249.3  607.1  120.8  488.9
       28      1  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_2               FNYCO001 GRRD0801 KS00000005 2008061 2008130 2008140 2008210 2008285 2008285   -99   27712   17349   17349   10433 21695  0.3288    5276   694.2 0.626   4.4    14   350   296   734   512   222     2     0   134     1   250     0   356     0    58   266   231   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19795  19795      0      0  226566  226566     -99    130.8     42.8     54.1     79.2     81.9     26.8     33.9     49.6    110.8     77.8     69.4     48.7   155  30.2  13.9  27.7  13.6  380.0  211.8  647.8  137.6  511.9
       29      1  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_2               FNYCO001 GRRD0901 KS00000005 2009061 2009130 2009139 2009208 2009292 2009292   -99   26625   16451   16451   10236 21458  0.3203    5137   675.9 0.618   3.9    11   275   474   769   476   294    12    50   153     1   250     0   349     1    59   264   226   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19801  19801      0      0  226705  226705     -99     84.8     41.1     56.0     96.8     52.4     25.4     34.6     59.8    106.5     76.3     65.8     47.1   162  28.3  12.5  26.5  13.5  380.0  314.1  648.3  172.7  475.6
       30      2  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_4               FNYCO001 GRRD8101 KS00000005 1981061 1981130 1981143 1981212 1981289 1981289   -99   28654   18249   18249   10471 23433  0.3255    5606   737.7 0.637   3.8    11   275   396   732   468   264     6    17   152     1   250     0   351     1    61   274   243   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19794  19794      0      0  226521  226521     -99    103.3     45.7     61.2    104.2     65.8     29.1     39.0     66.4    114.6     81.6     73.0     52.0   159  28.7  13.7  27.0  13.5  380.0  277.3  627.6  160.0  468.4
