*SUMMARY : KSGC3038SN FINNEY COUNTY MODELING                                       DSSAT Cropping System Model Ver. 4.7.1.001 -release      JUL 23, 2019; 16:38:07

!IDENTIFIERS......................... EXPERIMENT AND TREATMENT.......... SITE INFORMATION............ DATES..........................................  DRY WEIGHT, YIELD AND YIELD COMPONENTS........................................  WATER...............................................  NITROGEN............................................  PHOSPHORUS............  POTASSIUM.............  ORGANIC MATTER..........................................    WATER PRODUCTIVITY..................................................    NITROGEN PRODUCTIVITY...........  SEASONAL ENVIRONMENTAL DATA (Planting to harvest)..............
@   RUNNO   TRNO R# O# C# CR MODEL... EXNAME.. TNAM..................... FNAM.... WSTA.... SOIL_ID...    SDAT    PDAT    EDAT    ADAT    MDAT    HDAT  DWAP    CWAM    HWAM    HWAH    BWAH  PWAM    HWUM    H#AM    H#UM  HIAM  LAIX  IR#M  IRCM  PRCM  ETCM  EPCM  ESCM  ROCM  DRCM  SWXM  NI#M  NICM  NFXM  NUCM  NLCM  NIAM  CNAM  GNAM N2OEC  PI#M  PICM  PUPC  SPAM  KI#M  KICM  KUPC  SKAM  RECM  ONTAM   ONAM  OPTAM   OPAM   OCTAM    OCAM   CO2EC    DMPPM    DMPEM    DMPTM    DMPIM     YPPM     YPEM     YPTM     YPIM    DPNAM    DPNUM    YPNAM    YPNUM  NDCH TMAXA TMINA SRADA DAYLA   CO2A   PRCP   ETCP   ESCP   EPCP
      902     32  1  1  0 MZ MZCER047 KSGC3038 45%_IFREQ_12              FNYCO001 GRRD8301 KS00000005 1983061 1983130 1983145 1983222 1983294 1983294   -99   13108    6254    6254    6923  7854  0.2713    2305   303.3 0.477   3.8     8   200   354   649   301   347     2    39   111     1   250     0   224     1   159   160   109   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19808  19808      0      0  226616  226616     -99     48.4     23.8     43.5     65.5     23.1     11.4     20.7     31.3     52.4     58.5     25.0     27.9   164  29.3  13.6  27.0  13.4  380.0  270.7  550.8  249.5  301.5
      903     32  1  1  0 MZ MZCER047 KSGC3038 45%_IFREQ_12              FNYCO001 GRRD8401 KS00000005 1984061 1984130 1984137 1984211 1984285 1984285   -99   16570    8279    8279    8354 11702  0.1852    4469   588.1 0.500   3.4     9   225   326   621   317   305     4    28   141     1   250     0   264     0   111   196   148   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19825  19825      0      0  226903  226903     -99    103.8     34.9     52.3     73.6     51.8     17.4     26.1     36.8     66.3     62.8     33.1     31.4   155  30.0  13.8  27.9  13.6  380.0  159.7  474.7  158.1  316.6
      904     32  1  1  0 MZ MZCER047 KSGC3038 45%_IFREQ_12              FNYCO001 GRRD8501 KS00000005 1985061 1985130 1985140 1985214 1985280 1985280   -99   25470   15287   15287   10247 20399  0.2754    5550   730.3 0.600   3.7     8   200   430   677   440   237    14    17   168     1   250     0   344     0    64   260   220   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19800  19800      0      0  226637  226637     -99     80.1     44.4     57.8    127.3     48.1     26.7     34.7     76.4    101.9     74.0     61.1     44.4   150  29.0  13.0  27.9  13.6  380.0  317.8  573.2  132.8  440.4
      905     32  1  1  0 MZ MZCER047 KSGC3038 45%_IFREQ_12              FNYCO001 GRRD8601 KS00000005 1986061 1986130 1986137 1986210 1986282 1986282   -99   25331   14458   14458   10942 19133  0.2508    5765   758.6 0.571   4.5     8   200   312   667   439   228     1     0    90     1   250     0   293     0   111   216   185   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19800  19800      0      0  226695  226695     -99     95.3     42.0     57.7    126.7     54.4     24.0     32.9     72.3    101.3     86.5     57.8     49.3   152  29.6  15.0  27.5  13.6  380.0  265.9  603.1  165.6  438.9
      906     32  1  1  0 MZ MZCER047 KSGC3038 45%_IFREQ_12              FNYCO001 GRRD8701 KS00000005 1987061 1987130 1987136 1987214 1987306 1987306   -99   26787   14878   14878   11991 19910  0.2698    5515   725.7 0.555   4.8     9   225   464   793   496   298     9    46    84     1   250     0   321     1    89   220   182   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19807  19807      0      0  226979  226979     -99     78.6     38.8     54.1    119.1     43.6     21.5     30.0     66.1    107.1     83.4     59.5     46.3   176  28.3  12.8  26.6  13.2  380.0  340.9  691.0  195.5  495.5
      907     32  1  1  0 MZ MZCER047 KSGC3038 45%_IFREQ_12              FNYCO001 GRRD8801 KS00000005 1988061 1988130 1988136 1988210 1988279 1988279   -99   12488    4848    4848    7706  5939  0.2839    1708   224.7 0.388   3.6     9   225   260   572   334   238     0     2   153     1   250     0   218     0   169   149    84   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19802  19802      0      0  226397  226397     -99     62.4     25.4     37.4     55.5     24.2      9.8     14.5     21.5     50.0     57.3     19.4     22.2   149  30.5  14.6  27.3  13.7  380.0  200.0  492.4  159.3  333.7
      908     32  1  1  0 MZ MZCER047 KSGC3038 45%_IFREQ_12              FNYCO001 GRRD8901 KS00000005 1989061 1989130 1989140 1989216 1989298 1989298   -99   25837   15359   15359   10543 20350  0.3146    4882   642.3 0.594   4.1     8   200   469   738   440   299    13    39   126     1   250     0   339     2    67   252   207   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19802  19802      0      0  226777  226777     -99     61.0     38.7     58.8    129.2     36.2     23.0     34.9     76.8    103.3     76.2     61.4     45.3   168  27.0  12.2  26.2  13.4  380.0  423.9  668.2  228.5  439.7
      909     32  1  1  0 MZ MZCER047 KSGC3038 45%_IFREQ_12              FNYCO001 GRRD9001 KS00000005 1990061 1990130 1990139 1990216 1990294 1990294   -99   22357   11465   11465   10959 17053  0.2132    5378   707.6 0.513   3.7    10   250   365   704   402   302    13    40    97     1   250     0   274     1   115   189   159   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19819  19819      0      0  227046  227046     -99     94.4     38.6     55.6     89.4     48.4     19.8     28.5     45.9     89.4     81.6     45.9     41.8   164  29.4  13.3  27.4  13.4  380.0  236.9  579.8  177.7  402.1
      910     32  1  1  0 MZ MZCER047 KSGC3038 45%_IFREQ_12              FNYCO001 GRRD9101 KS00000005 1991061 1991130 1991136 1991205 1991277 1991277   -99   24044   13427   13427   10686 16815  0.3141    4275   562.5 0.558   4.2     8   200   422   720   466   254    18    39    91     1   250     0   316     2    79   229   189   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19810  19810      0      0  226826  226826     -99     68.3     38.1     51.6    120.2     38.1     21.3     28.8     67.1     96.2     76.1     53.7     42.5   147  30.4  15.3  28.1  13.7  380.0  352.2  631.3  166.7  466.2
      911     32  1  1  0 MZ MZCER047 KSGC3038 45%_IFREQ_12              FNYCO001 GRRD9201 KS00000005 1992061 1992130 1992137 1992223 1992316 1992316   -99   28654   16220   16220   12509 22526  0.3096    5239   689.4 0.566   4.6     8   200   422   740   470   270     8     0   120     1   250     0   388     0    44   291   231   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19786  19786      0      0  226647  226647     -99     71.7     41.8     61.0    143.3     40.6     23.7     34.5     81.1    114.6     73.9     64.9     41.8   186  25.7  11.3  25.2  13.1  380.0  399.4  685.0  215.2  469.8
      912     32  1  1  0 MZ MZCER047 KSGC3038 45%_IFREQ_12              FNYCO001 GRRD9301 KS00000005 1993061 1993130 1993139 1993214 1993309 1993309   -99   28271   16412   16412   11932 22187  0.3032    5414   712.3 0.581   4.5     8   200   511   763   458   305     7    25   163     1   250     0   358     0    53   276   216   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19805  19805      0      0  226740  226740     -99     71.6     43.4     61.7    141.4     41.5     25.2     35.8     82.1    113.1     79.0     65.6     45.8   179  26.8  11.9  26.0  13.2  380.0  395.0  652.0  193.8  458.2
      913     32  1  1  0 MZ MZCER047 KSGC3038 45%_IFREQ_12              FNYCO001 GRRD9401 KS00000005 1994061 1994130 1994137 1994208 1994289 1994289   -99   27346   15125   15125   12295 21073  0.2668    5669   745.9 0.553   4.5     9   225   432   781   507   274     3    12   105     1   250     0   310     0    95   218   184   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19804  19804      0      0  226817  226817     -99     76.2     39.4     54.0    121.5     42.1     21.8     29.8     67.2    109.4     88.2     60.5     48.8   159  30.1  13.5  27.8  13.5  380.0  359.1  694.0  188.0  506.7
      914     32  1  1  0 MZ MZCER047 KSGC3038 45%_IFREQ_12              FNYCO001 GRRD9501 KS00000005 1995061 1995130 1995140 1995223 1995305 1995305   -99   21138    9975    9975   11237 14719  0.1826    5462   718.6 0.472   4.6     8   200   521   734   388   346    14   104   116     1   250     0   293     4   111   216   149   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19799  19799      0      0  226650  226650     -99     54.1     32.7     54.5    105.7     25.5     15.4     25.7     49.9     84.6     72.1     39.9     34.0   175  27.9  11.5  25.7  13.2  380.0  390.5  646.5  258.8  387.7
      915     32  1  1  0 MZ MZCER047 KSGC3038 45%_IFREQ_12              FNYCO001 GRRD9601 KS00000005 1996061 1996130 1996138 1996212 1996301 1996301   -99   30777   18814   18814   12038 24619  0.3444    5463   718.8 0.611   4.5     8   200   457   714   491   223     8    10   172     1   250     0   387     1    41   301   253   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19784  19784      0      0  226391  226391     -99     73.3     47.4     62.7    153.9     44.8     29.0     38.3     94.1    123.1     79.5     75.3     48.6   171  27.8  12.4  26.2  13.3  380.0  420.0  648.8  158.1  490.6
      916     32  1  1  0 MZ MZCER047 KSGC3038 45%_IFREQ_12              FNYCO001 GRRD9701 KS00000005 1997061 1997130 1997138 1997213 1997283 1997283   -99   26483   15145   15145   11408 20161  0.3127    4843   637.3 0.572   4.3     6   150   513   735   487   248    32    50   100     1   250     0   348     3    60   259   221   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19796  19796      0      0  226559  226559     -99     57.0     39.6     54.4    176.6     32.6     22.7     31.1    101.0    105.9     76.1     60.6     43.5   153  29.4  14.6  27.2  13.6  380.0  464.3  667.9  183.3  486.6
      917     32  1  1  0 MZ MZCER047 KSGC3038 45%_IFREQ_12              FNYCO001 GRRD9801 KS00000005 1998061 1998130 1998137 1998200 1998259 1998259   -99   24677   13970   13970   10760 18502  0.2716    5144   676.9 0.566   3.3     6   150   420   677   428   249     4    15   127     1   250     0   336     0    59   274   231   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19801  19801      0      0  226449  226449     -99     82.5     43.0     57.7    164.5     46.7     24.4     32.7     93.1     98.7     73.4     55.9     41.6   129  32.0  15.5  29.5  13.9  380.0  299.0  573.6  148.3  427.7
      918     32  1  1  0 MZ MZCER047 KSGC3038 45%_IFREQ_12              FNYCO001 GRRD9901 KS00000005 1999061 1999130 1999139 1999211 1999288 1999288   -99   24200   13644   13644   10627 18307  0.2738    4984   655.8 0.564   4.4     8   200   516   763   429   334    15    49   135     1   250     0   306     3    95   228   186   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19803  19803      0      0  226690  226690     -99     62.7     38.3     56.4    121.0     35.4     21.6     31.8     68.2     96.8     79.1     54.6     44.6   158  29.0  13.7  27.0  13.5  380.0  385.9  631.3  202.7  428.8
      919     32  1  1  0 MZ MZCER047 KSGC3038 45%_IFREQ_12              FNYCO001 GRRD0001 KS00000005 2000061 2000130 2000137 2000209 2000266 2000266   -99   20847   10124   10124   10793 14801  0.1835    5518   726.0 0.486   4.2     7   175   349   623   387   235     3    70    79     1   250     0   276     1   112   197   160   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19814  19814      0      0  226829  226829     -99    128.8     42.1     53.8    119.1     62.6     20.5     26.1     57.9     83.4     75.5     40.5     36.7   136  32.9  15.4  29.0  13.8  380.0  161.8  494.8  108.4  387.3
      920     32  1  1  0 MZ MZCER047 KSGC3038 45%_IFREQ_12              FNYCO001 GRRD0101 KS00000005 2001061 2001130 2001136 2001208 2001272 2001272   -99   22097   12281   12281    9885 16258  0.2373    5176   681.0 0.556   4.1     8   200   470   741   436   306    21   105    48     1   250     0   241     6   136   174   142   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19819  19819      0      0  226895  226895     -99     61.3     34.8     50.7    110.5     34.0     19.3     28.2     61.4     88.4     91.7     49.1     51.0   142  31.9  15.2  28.8  13.8  380.0  360.7  635.4  201.5  435.7
      921     32  1  1  0 MZ MZCER047 KSGC3038 45%_IFREQ_12              FNYCO001 GRRD0201 KS00000005 2002061 2002130 2002139 2002208 2002275 2002275   -99   20775   11139   11139    9701 14003  0.2752    4048   532.6 0.536   3.7     8   200   239   586   391   194     0     0   100     1   250     0   304     0    86   228   184   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19814  19814      0      0  226860  226860     -99    110.0     39.6     53.1    103.9     59.0     21.2     28.5     55.7     83.1     68.3     44.6     36.6   145  31.4  15.3  28.2  13.7  380.0  188.8  524.5  135.0  391.4
      922     32  1  1  0 MZ MZCER047 KSGC3038 45%_IFREQ_12              FNYCO001 GRRD0301 KS00000005 2003061 2003130 2003138 2003210 2003283 2003283   -99   19157   10752   10752    8466 13274  0.3029    3550   467.1 0.561   3.4     8   200   382   690   376   314     4    33   101     1   250     0   297     1    95   223   180   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19808  19808      0      0  226741  226741     -99     69.0     32.5     51.0     95.8     38.7     18.2     28.6     53.8     76.6     64.5     43.0     36.2   153  30.2  14.1  27.7  13.6  380.0  277.5  590.1  215.7  376.0
      923     32  1  1  0 MZ MZCER047 KSGC3038 45%_IFREQ_12              FNYCO001 GRRD0401 KS00000005 2004061 2004130 2004139 2004216 2004307 2004307   -99   30389   18018   18018   12446 23902  0.3224    5589   735.4 0.593   4.6     6   150   576   761   519   242    12    48   159     1   250     0   388     2    49   289   236   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19777  19777      0      0  226382  226382     -99     64.9     45.8     58.6    202.6     38.5     27.2     34.7    120.1    121.6     78.3     72.1     46.4   177  28.1  12.4  26.2  13.2  380.0  468.4  662.8  144.0  518.9
      924     32  1  1  0 MZ MZCER047 KSGC3038 45%_IFREQ_12              FNYCO001 GRRD0501 KS00000005 2005061 2005130 2005138 2005207 2005271 2005271   -99   24138   12860   12860   11350 17016  0.2629    4892   643.7 0.533   4.4     6   150   344   673   437   236     2     5    69     1   250     0   283     0   113   210   171   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19805  19805      0      0  226692  226692     -99     80.5     40.1     55.3    160.9     42.9     21.4     29.4     85.7     96.6     85.3     51.4     45.4   141  31.6  15.0  28.8  13.8  380.0  299.8  602.0  167.4  436.7
      925     32  1  1  0 MZ MZCER047 KSGC3038 45%_IFREQ_12              FNYCO001 GRRD0601 KS00000005 2006061 2006130 2006139 2006207 2006277 2006277   -99   26734   15558   15558   11253 19747  0.2769    5619   739.3 0.582   4.7     8   200   386   741   513   229     4     0    87     1   250     0   318     0    98   232   195   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19791  19791      0      0  226565  226565     -99     87.7     41.3     52.2    133.7     51.0     24.0     30.4     77.8    106.9     84.1     62.2     48.9   147  31.5  14.9  28.3  13.7  380.0  304.8  648.1  137.6  512.5
      926     32  1  1  0 MZ MZCER047 KSGC3038 45%_IFREQ_12              FNYCO001 GRRD0701 KS00000005 2007061 2007130 2007137 2007210 2007270 2007270   -99   21333   10467   10467   10933 14229  0.2094    4998   657.6 0.491   4.3     7   175   367   655   401   254     3    14   121     1   250     0   304     0    90   227   173   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19806  19806      0      0  226637  226637     -99     85.6     40.3     53.3    121.9     42.0     19.7     26.1     59.8     85.3     70.2     41.9     34.4   140  31.5  15.4  28.9  13.8  380.0  249.3  530.0  132.0  400.6
      927     32  1  1  0 MZ MZCER047 KSGC3038 45%_IFREQ_12              FNYCO001 GRRD0801 KS00000005 2008061 2008130 2008140 2008210 2008285 2008285   -99   22039   12665   12665    9442 15492  0.3359    3770   496.1 0.575   4.1     8   200   296   682   455   226     1     0    60     1   250     0   313     0    83   221   184   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19813  19813      0      0  226935  226935     -99    104.1     37.0     48.4    110.2     59.8     21.3     27.8     63.3     88.2     70.4     50.7     40.5   155  30.2  13.9  27.7  13.6  380.0  211.8  595.3  141.7  455.4
      928     32  1  1  0 MZ MZCER047 KSGC3038 45%_IFREQ_12              FNYCO001 GRRD0901 KS00000005 2009061 2009130 2009139 2009208 2009292 2009292   -99   25682   15184   15184   10562 20216  0.2937    5171   680.4 0.591   4.1     9   225   474   761   468   293    11    50   119     1   250     0   320     1    78   238   198   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19810  19810      0      0  226893  226893     -99     81.8     40.1     54.9    114.1     48.3     23.7     32.4     67.5    102.7     80.3     60.7     47.5   162  28.3  12.5  26.5  13.5  380.0  314.1  640.0  172.0  468.1
      929     33  1  1  0 MZ MZCER047 KSGC3038 45%_IFREQ_14              FNYCO001 GRRD8101 KS00000005 1981061 1981130 1981143 1981212 1981289 1981289   -99   26672   15816   15816   10925 20978  0.2787    5675   746.7 0.593   4.1     8   200   396   714   452   261     2    17   110     1   250     0   309     1    93   231   202   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19805  19805      0      0  226777  226777     -99     96.2     43.8     59.0    133.4     57.0     26.0     35.0     79.1    106.7     86.3     63.3     51.2   159  28.7  13.7  27.0  13.5  380.0  277.3  609.1  157.3  452.3
      930     33  1  1  0 MZ MZCER047 KSGC3038 45%_IFREQ_14              FNYCO001 GRRD8201 KS00000005 1982061 1982130 1982140 1982216 1982307 1982307   -99   26087   15211   15211   10942 20017  0.2790    5452   717.4 0.583   4.3     7   175   487   748   446   302    14    39   111     1   250     0   304     1   107   229   190   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19795  19795      0      0  226646  226646     -99     64.4     39.2     58.4    149.1     37.5     22.8     34.1     86.9    104.3     85.8     60.8     50.0   177  27.1  12.3  25.8  13.2  380.0  405.3  665.9  219.6  446.4
      931     33  1  1  0 MZ MZCER047 KSGC3038 45%_IFREQ_14              FNYCO001 GRRD8301 KS00000005 1983061 1983130 1983145 1983222 1983294 1983294   -99   11349    4597    4597    6820  6013  0.2639    1742   229.2 0.405   3.8     7   175   354   632   283   349     2    39   106     1   250     0   208     1   173   139    80   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19804  19804      0      0  226475  226475     -99     41.9     21.2     40.1     64.9     17.0      8.6     16.2     26.3     45.4     54.6     18.4     22.1   164  29.3  13.6  27.0  13.4  380.0  270.7  534.1  251.0  283.2
      932     33  1  1  0 MZ MZCER047 KSGC3038 45%_IFREQ_14              FNYCO001 GRRD8401 KS00000005 1984061 1984130 1984137 1984211 1984285 1984285   -99   15512    6832    6832    8742 10800  0.1409    4849   638.1 0.440   3.3     8   200   326   602   296   306     2    28   140     1   250     0   236     0   138   173   123   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19822  19822      0      0  226803  226803     -99     97.1     34.1     52.4     77.6     42.8     15.0     23.1     34.2     62.0     65.7     27.3     28.9   155  30.0  13.8  27.9  13.6  380.0  159.7  454.4  158.1  296.3
      933     33  1  1  0 MZ MZCER047 KSGC3038 45%_IFREQ_14              FNYCO001 GRRD8501 KS00000005 1985061 1985130 1985140 1985214 1985280 1985280   -99   25266   15083   15083   10247 20195  0.2718    5550   730.3 0.597   3.7     7   175   430   667   430   238    11    17   160     1   250     0   340     0    66   257   219   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19802  19802      0      0  226656  226656     -99     79.5     44.9     58.8    144.4     47.5     26.8     35.1     86.2    101.1     74.3     60.3     44.4   150  29.0  13.0  27.9  13.6  380.0  317.8  563.2  133.6  429.6
      934     33  1  1  0 MZ MZCER047 KSGC3038 45%_IFREQ_14              FNYCO001 GRRD8601 KS00000005 1986061 1986130 1986137 1986210 1986282 1986282   -99   24408   13541   13541   10936 18210  0.2349    5765   758.6 0.555   4.5     7   175   312   639   411   228     1     0    97     1   250     0   294     0   110   219   188   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19799  19799      0      0  226669  226669     -99     91.8     42.5     59.4    139.5     50.9     23.6     33.0     77.4     97.6     83.0     54.2     46.1   152  29.6  15.0  27.5  13.6  380.0  265.9  574.9  165.4  410.9
      935     33  1  1  0 MZ MZCER047 KSGC3038 45%_IFREQ_14              FNYCO001 GRRD8701 KS00000005 1987061 1987130 1987136 1987214 1987306 1987306   -99   26470   14561   14561   11991 19594  0.2640    5515   725.7 0.550   4.8     8   200   464   775   482   294     9    46    80     1   250     0   315     1    93   216   179   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19807  19807      0      0  226979  226979     -99     77.6     39.3     55.0    132.4     42.7     21.6     30.2     72.8    105.9     84.0     58.2     46.2   176  28.3  12.8  26.6  13.2  380.0  340.9  673.9  192.3  481.7
      936     33  1  1  0 MZ MZCER047 KSGC3038 45%_IFREQ_14              FNYCO001 GRRD8801 KS00000005 1988061 1988130 1988136 1988210 1988279 1988279   -99   15231    7179    7179    8116  8987  0.2772    2590   340.8 0.471   3.5     7   175   260   559   315   244     0     2   124     1   250     0   253     0   134   187   125   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19810  19810      0      0  226673  226673     -99     76.2     31.8     48.4     87.0     35.9     15.0     22.8     41.0     60.9     60.2     28.7     28.4   149  30.5  14.6  27.3  13.7  380.0  200.0  478.9  164.4  315.0
      937     33  1  1  0 MZ MZCER047 KSGC3038 45%_IFREQ_14              FNYCO001 GRRD8901 KS00000005 1989061 1989130 1989140 1989216 1989298 1989298   -99   25122   14725   14725   10461 19635  0.2997    4913   646.4 0.586   4.1     7   175   469   725   428   296    12    39   119     1   250     0   322     2    83   236   193   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19803  19803      0      0  226805  226805     -99     59.3     38.4     58.6    143.6     34.7     22.5     34.4     84.1    100.5     78.0     58.9     45.7   168  27.0  12.2  26.2  13.4  380.0  423.9  654.8  226.4  428.4
      938     33  1  1  0 MZ MZCER047 KSGC3038 45%_IFREQ_14              FNYCO001 GRRD9001 KS00000005 1990061 1990130 1990139 1990216 1990294 1990294   -99   20725   10568   10568   10224 15423  0.2098    5038   662.9 0.510   3.7     8   200   365   677   375   302    12    40    83     1   250     0   267     1   120   184   152   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19821  19821      0      0  227081  227081     -99     87.5     37.5     55.2    103.6     44.6     19.1     28.1     52.8     82.9     77.6     42.3     39.6   164  29.4  13.3  27.4  13.4  380.0  236.9  553.2  177.7  375.5
      939     33  1  1  0 MZ MZCER047 KSGC3038 45%_IFREQ_14              FNYCO001 GRRD9101 KS00000005 1991061 1991130 1991136 1991205 1991277 1991277   -99   23870   13651   13651   10288 17088  0.3147    4339   570.9 0.572   4.2     7   175   422   720   467   253    12    39    76     1   250     0   307     2    86   220   183   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19812  19812      0      0  226884  226884     -99     67.8     37.8     51.1    136.4     38.8     21.6     29.2     78.0     95.5     77.8     54.6     44.5   147  30.4  15.3  28.1  13.7  380.0  352.2  631.6  165.9  467.2
      940     33  1  1  0 MZ MZCER047 KSGC3038 45%_IFREQ_14              FNYCO001 GRRD9201 KS00000005 1992061 1992130 1992137 1992223 1992316 1992316   -99   28341   15907   15907   12509 22212  0.3036    5239   689.4 0.561   4.6     7   175   422   737   470   268     8     0   102     1   250     0   383     0    47   285   227   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19788  19788      0      0  226702  226702     -99     71.0     41.5     60.3    161.9     39.8     23.3     33.9     90.9    113.4     74.0     63.6     41.5   186  25.7  11.3  25.2  13.1  380.0  399.4  682.3  212.6  469.6
      941     33  1  1  0 MZ MZCER047 KSGC3038 45%_IFREQ_14              FNYCO001 GRRD9301 KS00000005 1993061 1993130 1993139 1993214 1993309 1993309   -99   27977   16118   16118   11932 21893  0.2977    5414   712.3 0.576   4.5     8   200   511   755   445   310     5    25   173     1   250     0   353     0    56   273   213   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19807  19807      0      0  226779  226779     -99     70.8     43.5     62.9    139.9     40.8     25.1     36.2     80.6    111.9     79.3     64.5     45.7   179  26.8  11.9  26.0  13.2  380.0  395.0  643.0  198.1  444.9
      942     33  1  1  0 MZ MZCER047 KSGC3038 45%_IFREQ_14              FNYCO001 GRRD9401 KS00000005 1994061 1994130 1994137 1994208 1994289 1994289   -99   26010   13788   13788   12295 19737  0.2432    5669   745.9 0.530   4.5     8   200   432   754   479   275     3    12   110     1   250     0   299     0   104   208   175   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19807  19807      0      0  226856  226856     -99     72.4     39.0     54.3    130.1     38.4     20.7     28.8     68.9    104.0     87.0     55.2     46.1   159  30.1  13.5  27.8  13.5  380.0  359.1  667.6  189.2  479.0
      943     33  1  1  0 MZ MZCER047 KSGC3038 45%_IFREQ_14              FNYCO001 GRRD9501 KS00000005 1995061 1995130 1995140 1995223 1995305 1995305   -99   19738    8576    8576   11237 13319  0.1570    5462   718.6 0.434   4.6     7   175   521   700   365   336    14   104   128     1   250     0   284     4   120   208   140   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19797  19797      0      0  226591  226591     -99     50.5     32.2     54.1    112.8     22.0     14.0     23.5     49.0     79.0     69.5     34.3     30.2   175  27.9  11.5  25.7  13.2  380.0  390.5  613.2  248.6  364.6
      944     33  1  1  0 MZ MZCER047 KSGC3038 45%_IFREQ_14              FNYCO001 GRRD9601 KS00000005 1996061 1996130 1996138 1996212 1996301 1996301   -99   30756   18793   18793   12038 24598  0.3440    5463   718.8 0.611   4.5     8   200   457   709   490   218     8    10   177     1   250     0   386     1    42   299   251   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19785  19785      0      0  226411  226411     -99     73.2     47.8     62.7    153.8     44.7     29.2     38.3     94.0    123.0     79.7     75.2     48.7   171  27.8  12.4  26.2  13.3  380.0  420.0  643.6  153.2  490.4
      945     33  1  1  0 MZ MZCER047 KSGC3038 45%_IFREQ_14              FNYCO001 GRRD9701 KS00000005 1997061 1997130 1997138 1997213 1997283 1997283   -99   26386   15145   15145   11310 20096  0.3127    4843   637.3 0.574   4.3     6   150   513   732   486   246    33    50   102     1   250     0   346     3    61   256   220   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19798  19798      0      0  226597  226597     -99     56.8     39.7     54.3    175.9     32.6     22.8     31.1    101.0    105.5     76.3     60.6     43.8   153  29.4  14.6  27.2  13.6  380.0  464.3  665.4  181.1  486.2
      946     33  1  1  0 MZ MZCER047 KSGC3038 45%_IFREQ_14              FNYCO001 GRRD9801 KS00000005 1998061 1998130 1998137 1998200 1998259 1998259   -99   24629   13963   13963   10719 18495  0.2714    5144   676.9 0.567   3.3     5   125   420   675   427   248     6    15   106     1   250     0   333     0    60   270   229   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19804  19804      0      0  226495  226495     -99     82.4     43.0     57.6    197.0     46.7     24.4     32.7    111.7     98.5     74.0     55.9     41.9   129  32.0  15.5  29.5  13.9  380.0  299.0  572.9  147.8  427.4
      947     33  1  1  0 MZ MZCER047 KSGC3038 45%_IFREQ_14              FNYCO001 GRRD9901 KS00000005 1999061 1999130 1999139 1999211 1999288 1999288   -99   23900   13344   13344   10627 18007  0.2677    4984   655.8 0.558   4.4     7   175   516   748   415   333    16    49   128     1   250     0   304     3    96   227   184   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19804  19804      0      0  226709  226709     -99     61.9     38.7     57.6    136.6     34.6     21.6     32.1     76.3     95.6     78.6     53.4     43.9   158  29.0  13.7  27.0  13.5  380.0  385.9  616.8  201.7  415.3
