Well_ID,Soil_Type
18571,KSFC000004
18571,KSFC000004
18571,KSFC000004
18571,KSFC000004
18603,KSFC000007
18623,KSFC000004
18683,KSFC000006
18915,KSFC000005
18956,KSFC000007
18980,KSFC000004
19059,KSFC000001
19073,KSFC000007
19082,KSFC000004
19131,KSFC000007
19183,KSFC000001
19192,KSFC000002
19248,KSFC000004
19248,KSFC000004
19248,KSFC000006
19288,KSFC000007
19554,KSFC000007
19615,KSFC000001
19641,KSFC000004
19677,KSFC000004
19703,KSFC000006
19721,KSFC000004
19778,KSFC000005
19799,KSFC000001
19816,KSFC000002
19816,KSFC000002
19816,KSFC000002
19833,KSFC000007
19901,KSFC000004
19910,KSFC000001
19933,KSFC000007
20055,KSFC000007
20198,KSFC000001
20199,KSFC000007
20270,KSFC000004
20292,KSFC000006
20301,KSFC000002
20395,KSFC000004
20429,KSFC000004
20555,KSFC000006
20563,KSFC000006
20663,KSFC000004
20707,KSFC000004
20707,KSFC000004
20722,KSFC000001
20756,KSFC000007
20756,KSFC000007
20766,KSFC000004
20807,KSFC000002
20816,KSFC000001
20839,KSFC000004
20839,KSFC000001
20936,KSFC000007
20956,KSFC000004
20994,KSFC000007
21015,KSFC000001
21036,KSFC000007
21081,KSFC000003
21104,KSFC000004
21193,KSFC000005
21246,KSFC000007
21368,KSFC000007
21381,KSFC000007
21383,KSFC000004
21383,KSFC000004
21383,KSFC000004
21416,KSFC000006
21424,KSFC000007
21442,KSFC000004
21656,KSFC000004
21656,KSFC000004
21679,KSFC000005
21727,KSFC000007
21734,KSFC000007
21751,KSFC000001
21760,KSFC000007
21851,KSFC000006
21851,KSFC000002
21851,KSFC000004
21851,KSFC000006
21853,KSFC000007
21905,KSFC000007
22034,KSFC000007
22050,KSFC000006
22080,KSFC000007
22174,KSFC000002
22190,KSFC000007
22287,KSFC000006
22383,KSFC000007
22524,KSFC000006
22613,KSFC000007
22656,KSFC000007
22677,KSFC000007
22769,KSFC000007
22792,KSFC000005
22795,KSFC000006
22795,KSFC000006
22795,KSFC000006
22795,KSFC000006
22795,KSFC000006
22795,KSFC000006
22795,KSFC000006
22795,KSFC000006
22795,KSFC000006
22795,KSFC000006
22798,KSFC000001
22806,KSFC000007
23088,KSFC000005
23098,KSFC000004
23102,KSFC000004
23134,KSFC000001
23149,KSFC000001
23203,KSFC000007
23243,KSFC000006
23334,KSFC000004
23494,KSFC000001
23498,KSFC000004
23528,KSFC000007
23635,KSFC000001
23711,KSFC000007
23732,KSFC000004
23769,KSFC000006
23777,KSFC000006
23806,KSFC000007
23836,KSFC000007
23836,KSFC000007
23858,KSFC000007
23884,KSFC000004
23890,KSFC000007
23893,KSFC000006
23942,KSFC000007
23982,KSFC000004
24026,KSFC000004
24260,KSFC000004
24260,KSFC000004
24260,KSFC000004
24331,KSFC000006
24370,KSFC000007
24420,KSFC000005
24420,KSFC000005
24529,KSFC000004
24641,KSFC000007
24641,KSFC000007
24745,KSFC000004
24761,KSFC000006
24775,KSFC000007
24864,KSFC000004
24874,KSFC000007
25051,KSFC000006
25114,KSFC000004
25155,KSFC000001
25229,KSFC000007
25274,KSFC000007
25292,KSFC000007
25311,KSFC000006
25399,KSFC000003
25462,KSFC000006
25488,KSFC000007
25520,KSFC000006
25520,KSFC000001
25527,KSFC000001
25527,KSFC000001
25527,KSFC000001
25575,KSFC000007
25627,KSFC000003
25663,KSFC000006
25695,KSFC000007
25695,KSFC000007
25695,KSFC000007
25705,KSFC000004
25747,KSFC000002
25759,KSFC000007
25809,KSFC000002
25917,KSFC000006
25917,KSFC000006
25917,KSFC000007
25955,KSFC000007
26066,KSFC000007
26120,KSFC000007
26251,KSFC000006
26359,KSFC000004
26365,KSFC000003
26392,KSFC000006
26514,KSFC000004
26535,KSFC000007
26538,KSFC000007
26541,KSFC000001
26541,KSFC000001
26541,KSFC000001
26545,KSFC000001
26653,KSFC000007
26708,KSFC000004
26708,KSFC000004
26825,KSFC000004
26849,KSFC000004
26871,KSFC000007
27054,KSFC000007
27063,KSFC000006
27090,KSFC000007
